id_echantillon,math,ph,info,chim,philo,svt,hist,geo,ecm,angl,sport,disciplinePlusApte,taille,nbrInscrit,nbrReuissit,reuissit
95,11,11,11,14,10,10,10,10,10,10,10,0,1.57,200,150,1,3
96,11,12,11,14,10,10,10,10,10,10,10,0,1.57,200,150,1,3
97,11,12,11,14,10,10,10,10,10,11,10,0,1.57,200,150,1,3
98,10,12,12,13,11,11,10,10,11,10,10,0,1.57,200,150,1,3
99,10,12,12,14,11,11,10,10,11,10,10,0,1.57,200,150,1,3
100,11,12,12,14,11,11,10,10,11,10,10,0,1.57,200,150,1,3
101,11,12,12,14,12,11,10,10,11,10,10,1,1.77,200,125,1,3
102,11,12,12,14,12,11,10,10,11,10,11,1,1.77,200,125,1,3
103,11,12,12,14,12,11,10,11,11,10,11,1,1.77,200,125,1,3
104,11,13,13,14,11,11,11,10,11,10,11,1,1.77,200,125,1,3
105,11,13,13,14,11,11,11,10,11,11,11,1,1.77,200,125,1,3
106,11,13,13,14,11,11,11,11,11,11,11,1,1.77,200,125,1,3
107,11,13,13,14,12,11,11,11,11,11,11,1,1.77,200,125,1,3
108,11,13,13,14,12,11,12,11,11,11,11,0,1.37,400,325,1,3
109,11,13,13,14,12,11,12,11,11,11,12,0,1.37,400,325,1,3
110,13,16,13,13,11,11,11,10,11,12,11,0,1.37,400,325,1,3
111,14,16,13,13,11,11,11,10,11,12,11,0,1.37,400,325,1,3
112,14,16,14,13,11,11,11,10,11,12,11,0,1.37,400,325,1,3
113,14,16,14,14,11,11,11,10,11,12,11,0,1.37,400,325,1,3
114,14,16,14,14,12,11,11,10,11,12,11,0,1.37,400,325,1,3
115,14,16,14,14,12,12,11,10,11,12,11,0,1.37,400,325,1,3
116,14,16,14,14,12,12,11,11,11,12,11,2,1.87,400,325,1,3
117,15,17,15,15,11,11,11,10,11,12,11,2,1.87,400,325,1,3
118,15,17,15,15,11,11,11,11,11,12,11,2,1.87,400,325,1,3
119,15,17,15,15,11,12,11,11,11,12,11,2,1.87,400,325,1,3
120,15,17,15,15,11,12,11,11,12,12,11,2,1.87,400,325,1,3
121,16,18,16,16,11,11,11,10,11,12,11,2,1.87,400,325,1,3
